,G1,G10,G15,G23,G25,G37,G38,G44,G45,G54,G55,G57,G62,G63,G64,G65,G66,G67,G69,G72,G73,G75,G82,G85,G87,G92,G99,G5,G26,G36,G40,G42,G43,G46,G83,G90,G91,G93,G96,G98,G100,G2,G3,G4,G6,G7,G8,G9,G11,G12,G13,G14,G16,G17,G18,G19,G20,G21,G22,G24,G27,G28,G29,G30,G31,G32,G33,G34,G35,G39,G41,G47,G48,G49,G50,G51,G52,G53,G56,G58,G59,G60,G61,G68,G70,G71,G74,G76,G77,G78,G79,G80,G81,G84,G86,G88,G89,G94,G95,G97,y_G9
0,0.1399892,0.5018678,0.0042133,0.1265657,0.0830939,0.6555458,0.0764301,0.5393861,0.6247546,0.2050719,0.4836648,0.260636,0.217362,0.7099277,0.5986799,0.4701615,0.2453003,0.3081941,0.4584435,0.0050013,0.0394325,0.4497595,0.1104423,0.6359484,0.1304232,0.4555225,0.7353406,0.686419,0.6415924,0.6146333,0.6327553,0.6410915,0.7585048,0.7083762,0.6069648,0.6195433,0.639322,0.6024001,0.6949261,0.7037191,0.6123003,0.2259739,0.4364315,0.3709027,0.047453,0.5704509,0.4123535,0.0,0.0080743,0.3220793,0.0349391,0.0155932,0.1263454,0.3225563,0.516801,0.076155,0.0009413,0.033015,0.1986854,0.1859443,0.465467,0.386523,0.2163906,0.4892094,0.2592718,0.020291,0.2050776,0.0926731,0.6322186,0.0472412,0.0266324,0.5344003,0.6000413,0.4086859,0.1572665,0.6730143,0.5996389,0.3733515,0.2956673,0.1972579,0.0738254,0.2338498,0.0193793,0.4969352,0.0146901,0.1899166,0.0404651,0.6408716,0.0217324,0.1171029,0.137632,0.0231927,0.3478369,0.1435552,0.2628259,0.0544301,0.0516274,0.3747575,0.5391703,0.2622931,0.0143378
1,0.0,0.4539591,0.0099478,0.1679411,0.1224018,0.5795862,0.0940638,0.5603221,0.5281049,0.1764872,0.4782547,0.2271943,0.3832302,0.5004313,0.4651956,0.5216052,0.3500405,0.3425308,0.5464223,0.0336971,0.0291291,0.3869096,0.1424318,0.5664351,0.1903138,0.4976004,0.5208848,0.5943966,0.7451635,0.6055145,0.734244,0.6046163,0.6139593,0.6442486,0.6941254,0.6225265,0.559295,0.6288653,0.6259918,0.6389576,0.6122851,0.2052669,0.5197295,0.3466931,0.0741808,0.5479191,0.3506777,0.0,0.0064561,0.3605916,0.0362066,0.0120757,0.0989074,0.3279244,0.4424419,0.0597063,0.0076996,0.0445909,0.1980496,0.1675171,0.4421721,0.2882558,0.1329748,0.41181,0.2481219,0.0202238,0.2303204,0.1232326,0.6193266,0.0497633,0.0370684,0.5632948,0.608834,0.4130773,0.1513527,0.5727221,0.6712079,0.407646,0.2742254,0.1937205,0.0957834,0.1672701,0.0191606,0.4115736,0.0246271,0.2164291,0.0947531,0.6973475,0.0149853,0.1148949,0.2089995,0.0200441,0.3402903,0.1840668,0.1706654,0.0757928,0.0152818,0.4787128,0.5962436,0.2382016,0.0116355
2,0.1255953,0.5345721,0.0091597,0.2202203,0.0919581,0.5523202,0.106327,0.5314822,0.6896783,0.2447578,0.5599034,0.2437096,0.2531312,0.518312,0.3322509,0.6567028,0.2664441,0.366713,0.4169452,0.0182482,0.0558729,0.3489363,0.1044344,0.6404066,0.154935,0.3815131,0.4783374,0.6213178,0.5826894,0.7353222,0.5409898,0.6576206,0.66257,0.6827151,0.603217,0.6908488,0.587279,0.5846044,0.5479752,0.6764624,0.6942643,0.0,0.430765,0.3475272,0.0441554,0.6772251,0.3751694,0.0,0.0263006,0.3144292,0.0471912,0.0166814,0.1076151,0.3769829,0.5415342,0.0857785,0.0030291,0.0288609,0.1372176,0.0893026,0.3998838,0.3357783,0.2322258,0.3991059,0.2132682,0.0170719,0.1569666,0.1220797,0.555093,0.0469751,0.0388487,0.5273294,0.603112,0.5133069,0.1555023,0.6421363,0.6702591,0.4439862,0.3840037,0.1747903,0.0577307,0.2251762,0.0106182,0.5257822,0.0212727,0.2083384,0.063284,0.5506707,0.0533381,0.1120492,0.1588734,0.0396172,0.4237533,0.1479816,0.1875708,0.0610747,0.0495254,0.4148782,0.3882452,0.2005704,0.0172009
3,0.1630365,0.4965117,0.0132761,0.0954597,0.1643884,0.6427308,0.1146024,0.5927781,0.5649146,0.2937863,0.4319787,0.3242856,0.2722464,0.6312301,0.4120712,0.4967582,0.3345308,0.331744,0.3966855,0.0143258,0.0392059,0.4536189,0.1126973,0.5916961,0.1547359,0.4195177,0.5496374,0.7754682,0.5722788,0.5468653,0.5770319,0.6817553,0.6059314,0.5645867,0.6990972,0.5766714,0.5512139,0.5579079,0.618606,0.6909684,0.674129,0.2448662,0.4088203,0.0,0.065085,0.6992111,0.3820592,0.0,0.0119608,0.3387126,0.0293358,0.0225603,0.0740646,0.3277204,0.5738852,0.0601638,0.0022988,0.0233848,0.2276276,0.2046028,0.4143833,0.2788856,0.159038,0.4366349,0.214479,0.0475553,0.1945085,0.1007176,0.5864539,0.0440594,0.0449379,0.5552794,0.5853099,0.426535,0.1237604,0.5765799,0.6211257,0.3630651,0.3790454,0.2854713,0.0826917,0.1717199,0.0421369,0.4874747,0.009727,0.1714435,0.0955799,0.6333405,0.0079019,0.1113427,0.1667664,0.0259331,0.3270911,0.1850782,0.2048146,0.1411395,0.0283102,0.404101,0.438116,0.2768914,0.0135724
4,0.1584708,0.2242894,0.7576833,0.1549452,0.0981522,0.5707331,0.0759919,0.4373167,0.7506943,0.2784007,0.5071775,0.2828734,0.2193107,0.4963885,0.2757602,0.5103013,0.3120464,0.3288793,0.3775899,0.0304207,0.031554,0.4207568,0.122535,0.573779,0.1000361,0.3845132,0.6450212,0.0,0.6518012,0.6094881,0.6669807,0.6738286,0.6594074,0.6428987,0.6055259,0.6305118,0.6167771,0.4736888,0.5617589,0.5087017,0.6874376,0.0545325,0.0483459,0.0782316,0.5551619,0.0026177,0.2678743,0.0,0.2595708,0.6196037,0.5667929,0.4831349,0.3264836,0.6412604,0.784796,0.3270339,0.2682426,0.0146155,0.0596955,0.127357,0.4050724,0.2889006,0.1610759,0.4395826,0.1547703,0.0235518,0.2288195,0.1111163,0.7086823,0.0586058,0.0435023,0.5383822,0.5532904,0.4495561,0.2271856,0.4969665,0.6350032,0.3266532,0.2632461,0.2066177,0.1098499,0.1922477,0.0459068,0.4310932,0.0155568,0.1981195,0.1005631,0.7522217,0.0276967,0.1078799,0.2323042,0.0423559,0.3495613,0.113121,0.2525951,0.0803474,0.0325392,0.4784231,0.4296191,0.3008905,0.010198
5,0.141965,0.4054735,0.0066371,0.126479,0.1484835,0.62581,0.084282,0.4839397,0.7170068,0.2751739,0.510582,0.3588833,0.2691421,0.5209723,0.4224874,0.3836438,0.3833314,0.3467563,0.455305,0.0081653,0.029457,0.3465757,0.1256987,0.6371092,0.1129923,0.4072873,0.6545301,0.5986604,0.6346404,0.7233728,0.6565448,0.6407686,0.6109742,0.6127639,0.5707365,0.6115771,0.7028781,0.6257682,0.6605974,0.5878963,0.6949388,0.2581625,0.4555636,0.2581179,0.0,0.7312187,0.4066321,0.0,0.016094,0.3731718,0.0271411,0.0259786,0.0726008,0.3188014,0.5115526,0.0672768,0.0017149,0.0698306,0.1440978,0.0976907,0.499256,0.3527086,0.1925181,0.430379,0.1589386,0.0299538,0.2377514,0.1449602,0.6468642,0.0292354,0.0438784,0.6793284,0.5975705,0.3576292,0.1746137,0.7030232,0.5603207,0.3263965,0.3104444,0.1858281,0.1242623,0.2589678,0.0111971,0.4289275,0.0142102,0.1843873,0.0430815,0.6666879,0.0178651,0.1047366,0.1434315,0.0340635,0.4670359,0.1756541,0.1584541,0.0512986,0.0673907,0.4857667,0.4652665,0.3261019,0.0151528
6,0.1019558,0.4394328,0.0078077,0.1960615,0.1159804,0.6078104,0.0654062,0.5890585,0.6374476,0.2596656,0.5957436,0.2728905,0.2243965,0.6312061,0.3725367,0.5701586,0.3041816,0.320059,0.5019904,0.018445,0.0478219,0.3705551,0.1271265,0.5700617,0.1423301,0.3885181,0.5472496,0.6364539,0.6542419,0.6881842,0.6322509,0.6187426,0.56781,0.7104302,0.670214,0.6901001,0.6279078,0.6482615,0.6161106,0.598658,0.6659279,0.235086,0.5459884,0.3224409,0.0284206,0.0,0.3843694,0.0,0.0130458,0.3056843,0.0440291,0.025543,0.0726433,0.351851,0.5640808,0.0510344,0.0034991,0.0187353,0.1710432,0.1931078,0.4653465,0.3907043,0.1729768,0.4747244,0.1537716,0.0235081,0.1718298,0.1131739,0.6664733,0.0605115,0.0268778,0.6357458,0.4632009,0.4152558,0.128634,0.5470671,0.5930291,0.3711263,0.3016661,0.2357061,0.0681793,0.2057897,0.0094246,0.3998213,0.007252,0.1643483,0.0618893,0.5813168,0.0217054,0.0811758,0.1301172,0.020206,0.4064196,0.1098913,0.2755472,0.0459441,0.021749,0.3041859,0.562059,0.285795,0.0045644
7,0.1815699,0.6156968,0.0059241,0.1609774,0.1634595,0.5899142,0.0653845,0.4001162,0.4873935,0.3302262,0.5170125,0.2001082,0.3202314,0.6321454,0.4084375,0.4855604,0.2153126,0.3057586,0.4582306,0.016635,0.045909,0.3536837,0.1371742,0.5398318,0.1183861,0.3809292,0.6143426,0.6720998,0.6248049,0.6827553,0.5427039,0.6203704,0.5540614,0.6491686,0.6214076,0.7224846,0.6459642,0.6403782,0.7226882,0.718527,0.7059269,0.2743154,0.4631,0.3213668,0.0250359,0.5413031,0.0,0.0,0.0323994,0.3181691,0.0392049,0.0296627,0.0928477,0.3080067,0.5194748,0.0523841,0.0072095,0.0280261,0.1759368,0.1536133,0.5355517,0.3515549,0.1772328,0.4376356,0.164787,0.0465362,0.2259707,0.0667491,0.7043419,0.0881724,0.0388497,0.5586233,0.4714289,0.4027835,0.1509796,0.7625226,0.6803797,0.4064156,0.3914679,0.2255116,0.1008349,0.2566305,0.0194444,0.4086036,0.0094656,0.1878947,0.1010261,0.5480297,0.02008,0.1305758,0.1564052,0.0287289,0.3733971,0.2332947,0.2428426,0.108684,0.0753609,0.5543237,0.4265439,0.2356584,0.0056668
8,0.120485,0.5322616,0.0016377,0.1166407,0.1285672,0.653267,0.1346055,0.4652068,0.5892216,0.2226137,0.5030202,0.2372928,0.3423942,0.6058534,0.4550124,0.4039595,0.3520008,0.298026,0.4414424,0.0077492,0.0546784,0.4199733,0.1311884,0.5831962,0.1441558,0.3812427,0.6670401,0.7115031,0.7681482,0.6220378,0.6613258,0.6317775,0.6346482,0.6091182,0.5672426,0.6532491,0.623515,0.6511916,0.6184017,0.7594718,0.6366451,0.220704,0.4898305,0.3957459,0.0413212,0.551468,0.4016301,0.0,0.0135483,0.3975661,0.0135523,0.0187997,0.0792566,0.3521071,0.4831805,0.047793,0.0002699,0.0445669,0.1385213,0.0380766,0.5312875,0.3293447,0.1640737,0.3777551,0.2337176,0.0070014,0.1962407,0.0971536,0.6573404,0.0984588,0.0199021,0.5357622,0.513208,0.4322042,0.1938566,0.5134268,0.5604917,0.5003382,0.2468926,0.2521774,0.0609513,0.2624538,0.0152309,0.4131989,0.0348143,0.1967777,0.0845191,0.6825275,0.0175724,0.1094663,0.0896919,0.0258274,0.3609776,0.1893351,0.205751,0.0680357,0.0350347,0.4102812,0.4406194,0.2425676,0.0
9,0.3048511,0.0,0.0229081,0.6257792,0.3890657,0.0013623,0.1594568,0.408395,0.74398,0.2610226,0.5278959,0.3396464,0.4050143,0.5669274,0.5231411,0.5097083,0.274366,0.2805329,0.063913,0.5067057,0.6348659,0.5033956,0.1116627,0.5161304,0.1074411,0.510253,0.5873928,0.5827508,0.6990003,0.6583904,0.6245136,0.6342148,0.5280389,0.6149987,0.6281471,0.6091895,0.5855154,0.6716054,0.6489575,0.6234334,0.6694849,0.2672372,0.451561,0.4768754,0.039157,0.6644303,0.494663,0.0,0.0064326,0.3531881,0.0209957,0.0326517,0.1382325,0.2970253,0.4168662,0.095612,0.004466,0.0255374,0.182327,0.5201591,0.3121223,0.398479,0.6402835,0.4496772,0.0487369,0.0105671,0.1861335,0.1279196,0.702827,0.0678537,0.0351687,0.3608112,0.286057,0.4199829,0.1277005,0.5884912,0.7526315,0.3267666,0.2938402,0.217102,0.1904391,0.3905827,0.1727282,0.6535211,0.5956474,0.6854253,0.6603637,0.0546376,0.6535889,0.0725545,0.1957308,0.0220513,0.4005237,0.2110817,0.2147883,0.087106,0.6427083,0.5301188,0.4247364,0.2965413,0.0239683
