,0
0,G1
1,G10
2,G15
3,G23
4,G25
5,G37
6,G38
7,G44
8,G45
9,G54
10,G55
11,G57
12,G62
13,G63
14,G64
15,G65
16,G66
17,G67
18,G69
19,G72
20,G73
21,G75
22,G82
23,G85
24,G87
25,G92
26,G99
27,G5
28,G26
29,G36
30,G40
31,G42
32,G43
33,G46
34,G83
35,G90
36,G91
37,G93
38,G96
39,G98
40,G100
41,G2
42,G3
43,G4
44,G6
45,G7
46,G8
47,G9
48,G11
49,G12
50,G13
51,G14
52,G16
53,G17
54,G18
55,G19
56,G20
57,G21
58,G22
59,G24
60,G27
61,G28
62,G29
63,G30
64,G31
65,G32
66,G33
67,G34
68,G35
69,G39
70,G41
71,G47
72,G48
73,G49
74,G50
75,G51
76,G52
77,G53
78,G56
79,G58
80,G59
81,G60
82,G61
83,G68
84,G70
85,G71
86,G74
87,G76
88,G77
89,G78
90,G79
91,G80
92,G81
93,G84
94,G86
95,G88
96,G89
97,G94
98,G95
99,G97
